Station Date(NZST) Height(m) Pressure(hPa) Tair(C) Tdew(C) Dir(degT) Speed(m/s) StdFlag RsdFlag WndFlag IceFlag TurFlag Orig 
1410 20111002:0000 3141 695.0 -3.1 -9.1 - - N 1 - - - U 
1410 20111002:0000 3326 679.0 - - 355 9.3 N - 1 - H U 
1410 20111002:0000 3626 653.0 - - 320 10.8 N - 1 - H U 
1410 20111002:0000 3912 630.0 -8.3 -14.3 - - N 1 - - - U 
1410 20111002:0000 3962 626.0 -7.9 -21.9 - - N 1 - - - U 
1410 20111002:0000 4112 614.0 -9.1 -25.1 - - N 1 - - - U 
1410 20111002:0000 4226 605.0 - - 295 9.3 N - 1 - H U 
1410 20111002:0000 4367 594.0 -11.1 -17.1 - - N 1 - - - U 
1410 20111002:0000 4524 582.0 -11.9 -32.9 315 9.8 N 1 1 - H U 
1410 20111002:0000 4968 549.0 -15.1 -43.1 - - N 1 - - - U 
1410 20111002:0000 5126 538.0 - - 300 12.4 N - 1 - H U 
1410 20111002:0000 5426 517.0 - - 310 8.8 N - 1 - H U 
1410 20111002:0000 5434 516.0 -17.7 -27.7 - - N 1 - - - U 
1410 20111002:0000 5669 500.0 -19.3 -29.3 295 8.8 Y 0 0 0 P U 
1410 20111002:0000 5726 496.0 - - 285 8.8 N - 1 - H U 
1410 20111002:0000 5834 489.0 -20.7 -32.7 - - N 1 - - - U 
1410 20111002:0000 6204 465.0 -23.5 -27.3 - - N 1 - - - U 
1410 20111002:0000 6315 458.0 -24.1 -28.4 - - N 1 - - - U 
1410 20111002:0000 6626 439.0 - - 300 19.0 N - 1 - H U 
1410 20111002:0000 7042 414.0 -31.1 -32.3 - - N 1 - - - U 
1410 20111002:0000 7128 409.0 -31.7 -33.0 - - N 1 - - - U 
1410 20111002:0000 7163 407.0 -31.5 -38.5 - - N 1 - - - U 
1410 20111002:0000 7226 403.0 - - 305 16.5 N - 1 - H U 
1410 20111002:0000 7286 400.0 -32.1 -53.1 300 16.0 Y 0 0 0 P U 
1410 20111002:0000 7304 399.0 -32.3 -54.3 - - N 1 - - - U 
1410 20111002:0000 7826 370.0 - - 295 18.5 N - 1 - H U 
1410 20111002:0000 8252 348.0 -40.7 -48.7 - - N 1 - - - U 
1410 20111002:0000 8426 339.0 - - 315 17.5 N - 1 - H U 
1410 20111002:0000 8571 332.0 -43.3 -54.3 - - N 1 - - - U 
1410 20111002:0000 8903 316.0 -44.7 -67.7 - - N 1 - - - U 
1410 20111002:0000 9026 310.0 - - 295 13.9 N - 1 - H U 
1410 20111002:0000 9248 300.0 -47.9 -69.9 290 19.0 Y 0 0 0 P U 
1410 20111002:0000 9326 296.0 - - 290 21.1 N - 1 - H U 
1410 20111002:0000 10229 258.0 -54.5 -72.5 300 20.1 N 1 1 - H U 
1410 20111002:0000 10431 250.0 -54.7 -72.7 290 23.2 Y 0 0 0 P U 
1410 20111002:0000 10526 246.0 - - 285 23.7 N - 1 - H U 
1410 20111002:0000 10586 244.0 -55.3 -72.3 - - N 3 - - - U 
1410 20111002:0000 10826 235.0 - - 275 23.2 N - 1 - H U 
1410 20111002:0000 11274 219.0 -56.3 -78.3 - - N 1 - - - U 
1410 20111002:0000 11426 214.0 - - 290 22.1 N - 1 - H U 
1410 20111002:0000 11512 211.0 -54.1 -81.1 - - N 1 - - - U 
1410 20111002:0000 11726 204.0 - - 280 26.3 N - 1 - H U 
1410 20111002:0000 11855 200.0 -54.5 -86.5 280 24.2 Y 0 0 0 P U 
1410 20111002:0000 12818 172.0 -55.9 -87.9 - - N 1 - - - U 
1410 20111002:0000 13226 161.0 - - 300 18.0 N - 1 - H U 
1410 20111002:0000 13695 150.0 -52.9 -85.9 295 23.2 Y 0 0 0 P U 
1410 20111002:0000 13782 148.0 -51.9 -84.9 - - N 1 - - - U 
1410 20111002:0000 14126 140.0 - - 280 23.2 N - 1 - H U 
1410 20111002:0000 14426 134.0 - - 280 14.4 N - 1 - H U 
1410 20111002:0000 14666 129.0 -55.3 -87.3 - - N 1 - - - U 
1410 20111002:0000 14726 128.0 - - 285 14.9 N - 1 - H U 
1410 20111002:0000 15026 122.0 - - 315 15.4 N - 1 - H U 
1410 20111002:0000 15291 117.0 -54.1 -87.1 - - N 1 - - - U 
1410 20111002:0000 15926 106.0 - - 320 12.4 N - 1 - H U 
1410 20111002:0000 15978 105.0 -58.7 -89.7 - - N 1 - - - U 
1410 20111002:0000 16226 101.0 - - 290 12.9 N - 1 - H U 
1410 20111002:0000 16286 100.0 -56.3 -88.3 300 8.2 Y 1 0 0 P U 
1410 20111002:0000 16526 96.3 - - 320 8.8 N - 1 - H U 
1410 20111002:0000 16826 91.8 - - 305 13.4 N - 1 - H U 
1410 20111002:0000 16953 90.0 -58.1 -89.1 - - N 1 - - - U 
1410 20111002:0000 17126 87.6 - - 270 10.3 N - 1 - H U 
1410 20111002:0000 17426 83.5 - - 225 5.1 N - 1 - H U 
1410 20111002:0000 18542 70.0 -56.7 -88.7 190 1.0 Y 0 0 0 P U 
1410 20111002:0000 18926 65.9 - - 0 0.0 N - 1 - H U 
1410 20111002:0000 19826 57.2 - - 75 5.1 N - 1 - H U 
1410 20111002:0000 20126 54.6 - - 20 6.7 N - 1 - H U 
1410 20111002:0000 20426 52.1 - - 20 6.2 N - 1 - H U 
1410 20111002:0000 20688 50.0 -54.3 -87.3 0 0.0 Y 0 0 0 P U 
1410 20111002:0000 21026 47.4 - - 5 0.5 N - 1 - H U 
1410 20111002:0000 21926 41.2 - - 160 5.7 N - 1 - H U 
1410 20111002:0000 22226 39.4 - - 140 9.3 N - 1 - H U 
1410 20111002:0000 22526 37.6 - - 140 13.4 N - 1 - H U 
1410 20111002:0000 22624 37.0 -53.1 -86.1 - - N 1 - - - U 
1410 20111002:0000 22826 35.9 - - 130 12.4 N - 1 - H U 
1410 20111002:0000 23426 32.7 - - 145 11.8 N - 1 - H U 
1410 20111002:0000 23726 31.2 - - 130 12.4 N - 1 - H U 
1410 20111002:0000 23986 30.0 -49.9 -83.9 135 14.9 Y 0 0 0 P U 
1410 20111002:0000 24679 27.0 -47.7 -82.7 - - N 1 - - - U 
1410 20111002:0000 24926 26.0 - - 135 19.0 N - 1 - H U 
1410 20111002:0000 25526 23.7 - - 135 11.8 N - 1 - H U 
1410 20111002:0000 25826 22.7 - - 125 12.9 N - 1 - H U 
1410 20111002:0000 26646 20.0 -51.3 -84.3 145 13.4 Y 1 0 0 P U 
1410 20111002:0000 27336 18.0 -48.1 -82.1 - - N 1 - - - U 
1410 20111002:0000 30566 11.0 -50.5 -84.5 - - N 1 - - - U 
1410 20111002:1200 26 1015.0 16.0 13.6 55 8.2 Y 4 4 - H U 
1410 20111002:1200 152 1000.0 14.0 11.6 - - Y 0 - 0 - U 
1410 20111002:1200 326 980.0 - - 45 12.4 N - 1 - H U 
1410 20111002:1200 391 972.0 11.8 10.9 - - N 1 - - - U 
1410 20111002:1200 600 948.0 10.4 10.0 - - N 1 - - - U 
1410 20111002:1200 626 945.0 - - 35 17.0 N - 1 - H U 
1410 20111002:1200 805 925.0 9.4 8.9 - - Y 0 - 0 - U 
1410 20111002:1200 926 912.0 - - 20 18.0 N - 1 - H U 
1410 20111002:1200 1505 850.0 6.6 5.6 360 16.0 Y 0 0 0 P U 
1410 20111002:1200 1526 848.0 - - 360 16.0 N - 1 - H U 
1410 20111002:1200 2126 788.0 - - 340 19.0 N - 1 - H U 
1410 20111002:1200 2355 766.0 2.4 -0.2 - - N 1 - - - U 
1410 20111002:1200 2590 744.0 1.0 -6.0 - - N 1 - - - U 
1410 20111002:1200 2726 732.0 - - 345 12.9 N - 1 - H U 
1410 20111002:1200 2776 727.0 0.4 -3.9 - - N 1 - - - U 
1410 20111002:1200 2843 721.0 -0.1 -8.1 - - N 1 - - - U 
1410 20111002:1200 3079 700.0 -1.9 -5.9 345 12.4 Y 0 0 0 P U 
1410 20111002:1200 3090 699.0 -2.1 -6.0 - - N 1 - - - U 
1410 20111002:1200 3626 653.0 - - 340 11.3 N - 1 - H U 
1410 20111002:1200 3858 634.0 -7.9 -21.9 - - N 1 - - - U 
1410 20111002:1200 3920 629.0 -8.1 -21.1 - - N 1 - - - U 
1410 20111002:1200 3982 624.0 -8.1 -14.1 - - N 1 - - - U 
1410 20111002:1200 4107 614.0 -9.3 -12.0 - - N 1 - - - U 
1410 20111002:1200 4226 605.0 - - 360 12.9 N - 1 - H U 
1410 20111002:1200 4532 581.0 -12.9 -17.4 - - N 1 - - - U 
1410 20111002:1200 4598 576.0 -12.5 -35.5 - - N 1 - - - U 
1410 20111002:1200 4705 568.0 -12.9 -40.9 - - N 1 - - - U 
1410 20111002:1200 4868 556.0 -13.9 -36.9 - - N 1 - - - U 
1410 20111002:1200 5090 540.0 -14.5 -18.1 - - N 1 - - - U 
