date,percentile.no2,percentile.pm10,percentile.pm2.5,X,BH.photo,BH.met,ceilmoter.signal,ceilometer.signal.giulio,kidson.type,wd,ws,t,blh.12,percent.point,pm10.pn,pm2.5.pn,no2.pn,no2.qs,nox.qs,sp,dry,bh.1,hinv,oinv,year,kidson.group
29/08/14,<75th,<75th,<75th,244,NA,NOBH,NA,,H,ENE,6.2,16,700,23,18,4,13,22.4,31.2,SP1,DRY,NOBH,,,2014,zonal
30/08/14,<75th,<75th,<75th,245,NA,NOBH,NA,,HSE,ENE,6,14.4,1050,57,8,2,10,5.5,7.2,UP,,NOBH,,,2014,blocking
31/08/14,<75th,<75th,<75th,246,NA,NOBH,NA,,W,E,5,13,1350,13,9,3,8,4.3,5.7,UP,,NOBH,,,2014,zonal
1/05/15,>95th,>90th,>90th,247,2,BH,0,,H,SW,2.2,18.3,1451,NA,32,19,42.5,NA,NA,SP2,,NA,NA,NA,2015,zonal
2/05/15,<75th,<75th,<75th,248,0,NOBH,NA,,H,W,1.6,18,1232,NA,14,9,28.6,NA,NA,SP2,DRY,NA,NA,NA,2015,zonal
3/05/15,<75th,<75th,<75th,249,0,NOBH,NA,,H,NW,2.8,18.3,1300,NA,11,6,28.9,NA,NA,SP2,DRY,NA,NA,NA,2015,zonal
4/05/15,<75th,<75th,<75th,250,0,NOBH,NA,,HSE,N,3.2,18.8,NA,NA,13,9,25.2,NA,NA,SP2,DRY,NA,NA,NA,2015,blocking
5/05/15,<75th,<75th,<75th,251,0,NOBH,NA,,HE,NE,7.4,18.7,1398,NA,16,10,13.6,NA,NA,SP2,DRY,NA,NA,NA,2015,blocking
8/05/15,<75th,<75th,<75th,254,0,NOBH,NA,,T,N,2.4,17,NA,NA,11,9,30,NA,NA,UP,,NA,NA,NA,2015,through
9/05/15,<75th,>75th,>75th,255,0,NOBH,NA,,T,NW,4.4,18.4,NA,NA,21,14,30.5,NA,NA,UP,,NA,NA,NA,2015,through
10/05/15,<75th,<75th,<75th,256,0,NOBH,NA,,TNW,S,2.5,19.7,NA,NA,16,10,24.7,NA,NA,UP,DRY,NA,NA,NA,2015,through
11/05/15,<75th,>75th,>75th,257,0,NOBH,NA,,H,W,0.8,19.9,NA,NA,22,14,21.7,NA,NA,UP,,NA,NA,NA,2015,zonal
12/05/15,<75th,<75th,<75th,258,0,NOBH,NA,,H,N,1.5,17.3,774,NA,9,7,13.6,NA,NA,UP,,NA,NA,NA,2015,zonal
13/05/15,<75th,<75th,<75th,259,0,NOBH,NA,,H,NW,2.5,19.3,1437,NA,18,10,30,NA,NA,SP2,DRY,NA,NA,NA,2015,zonal
14/05/15,<75th,<75th,<75th,260,0,NOBH,NA,,HSE,SW,6.1,18.3,2723,NA,12,9,8.9,NA,NA,UP,,NA,NA,NA,2015,blocking
15/05/15,<75th,<75th,<75th,261,0,NOBH,NA,,HE,SW,9,12.7,964,NA,10,7,19.9,NA,NA,UP,,NA,NA,NA,2015,blocking
17/05/15,<75th,>75th,>75th,263,0,NOBH,NA,,T,SW,6.1,15.8,370,NA,24,17,27.3,NA,NA,SP2,DRY,NA,NA,NA,2015,through
18/05/15,<75th,<75th,<75th,264,0,NOBH,NA,,T,SW,1.4,14.5,643,NA,18,13,26.7,NA,NA,SP2,DRY,NA,NA,NA,2015,through
19/05/15,<75th,>75th,>75th,265,0,NOBH,NA,,T,SW,6.2,16.5,306,NA,20,14,31.4,NA,NA,UP,,NA,NA,NA,2015,through
