date,BH,bh,ceilmoter.signal,kidson.type,wd,ws,t,blh.12,percent.point,pm10.pn,pm2.5.pn,no2.pn,no2.qs,nox.qs,sp,dry,bh.1,hinv,oinv,year
21/07/14,0,NOBH,,T,WSW,10.4,14.6,350,36,16,5,19,NA,NA,UP,,NOBH,,,2014
22/07/14,0,NOBH,,SW,SW,3.6,8.9,550,18,20,15,24,NA,NA,UP,DRY,NOBH,,,2014
23/07/14,0,NOBH,,SW,SW,8.7,14,1600,40,23,9,33,47.9,161.7,UP,DRY,NOBH,,X,2014
24/07/14,0,NOBH,,SW,SW,1.9,11.6,250,27,19,10,26,53.5,185,UP,,NOBH,,,2014
25/07/14,0,NOBH,,SW,SW,8.9,13.6,1100,20,17,6,23,45.6,108.2,UP,,NOBH,,,2014
26/07/14,0,NOBH,,HSE,W,1.5,14.8,1050,24,19,7,21,38.3,107.8,SP2,DRY,NOBH,,,2014
27/07/14,NA,NOBH,,HSE,SW,3.9,14,1000,27,14,8,14,37.1,97.9,UP,,NOBH,,,2014
28/07/14,2,BH,NA,NE,W,1.6,12,NA,NA,24,17,18,40,129.3,SP1,DRY,BH?,X,,2014
29/07/14,2,BH,1,NE,N,3.9,15.9,1300,22,12,6,15,54.3,214.8,UP,,NOBH,X,,2014
30/07/14,0,NOBH,,W,NNW,4.1,16.5,700,57,8,4,14,63.8,165.2,UP,,NOBH,,,2014
31/07/14,0,NOBH,,T,NW,2.1,17.4,500,26,11,6,21,65.4,189,UP,DRY,NOBH,,,2014
1/08/14,NA,NOBH,2,W,NE,4.2,16.6,400,43,9,5,13,45.9,89.5,UP,DRY,NOBH,,X,2014
2/08/14,0,NOBH,2,HNW,N,5.5,18.6,1450,17,15,5,19,50.3,103.4,UP,DRY,NOBH,,X,2014
3/08/14,0,NOBH,,H,NW,2.7,12.6,700,27,15,6,16,57.8,127.5,UP,,NOBH,,,2014
4/08/14,NA,NOBH,,HNW,SW,1.7,14.9,100,33,19,8,22,56.7,156.1,UP,,NOBH,,,2014
5/08/14,0,NOBH,,HNW,SW,11.3,14.1,300,40,14,5,20,52.8,104.8,SP2,DRY,NOBH,,,2014
6/08/14,0,NOBH,,W,W,9.2,14.2,750,48,21,6,26,67.8,162.7,UP,,NOBH,,X,2014
7/08/14,0,NOBH,,SW,WSW,5.3,13.8,NA,NA,20,6,25,71,190.1,SP2,DRY,NOBH,,X,2014
