Station	Date(NZST)	Height(m)	Pressure(hPa)	Tair(C)	Tdew(C)	Dir(degT)	Speed(m/s)	StdFlag	RsdFlag	WndFlag	IceFlag	TurFlag	Orig
1410	20130102:0000	15326	119	-	-	255	25.7	N	-	1	-	H	U
1410	20130102:0000	15626	114	-	-	270	26.8	N	-	1	-	H	U
1410	20130102:0000	15926	108	-	-	255	21.1	N	-	1	-	H	U
1410	20130102:0000	16226	103	-	-	265	17	N	-	1	-	H	U
1410	20130102:0000	16413	100	-65.3	-	280	20.1	Y	1	0	0	P	U
1410	20130102:0000	16526	98.2	-	-	280	20.1	N	-	1	-	H	U
1410	20130102:0000	16826	93.4	-	-	275	24.7	N	-	1	-	H	U
1410	20130102:0000	17126	88.9	-	-	265	21.1	N	-	1	-	H	U
1410	20130102:0000	17327	86	-67.3	-	-	-	N	1	-	-	-	U
1410	20130102:0000	17426	84.6	-	-	270	17	N	-	1	-	H	U
1410	20130102:0000	17726	80.5	-	-	250	16	N	-	1	-	H	U
1410	20130102:0000	17996	77	-66.1	-	-	-	N	1	-	-	-	U
1410	20130102:0000	18026	76.6	-	-	270	17	N	-	1	-	H	U
1410	20130102:0000	18326	73	-	-	250	14.9	N	-	1	-	H	U
1410	20130102:0000	18582	70	-60.7	-	250	15.4	Y	0	0	0	P	U
1410	20130102:0000	18626	69.5	-	-	250	15.4	N	-	1	-	H	U
1410	20130102:0000	18856	67	-59.3	-87.3	-	-	N	1	-	-	-	U
1410	20130102:0000	18926	66.2	-	-	230	8.8	N	-	1	-	H	U
1410	20130102:0000	19439	61	-63.1	-	-	-	N	1	-	-	-	U
1410	20130102:0000	19526	60.2	-	-	315	6.7	N	-	1	-	H	U
1410	20130102:0000	19826	57.3	-	-	310	9.8	N	-	1	-	H	U
1410	20130102:0000	20126	54.7	-	-	295	5.1	N	-	1	-	H	U
1410	20130102:0000	20203	54	-55.5	-87.5	-	-	N	1	-	-	-	U
1410	20130102:0000	20426	52.1	-	-	305	1	N	-	1	-	H	U
1410	20130102:0000	20692	50	-56.9	-88.9	355	2.6	Y	0	0	0	P	U
1410	20130102:0000	20950	48	-57.7	-88.7	-	-	N	1	-	-	-	U
1410	20130102:0000	21926	41.2	-	-	35	5.1	N	-	1	-	H	U
1410	20130102:0000	22226	39.3	-	-	35	9.3	N	-	1	-	H	U
1410	20130102:0000	22826	35.8	-	-	165	1	N	-	1	-	H	U
1410	20130102:0000	23126	34.1	-	-	145	5.7	N	-	1	-	H	U
1410	20130102:0000	23153	34	-52.5	-85.5	-	-	N	1	-	-	-	U
1410	20130102:0000	23426	32.6	-	-	80	10.8	N	-	1	-	H	U
1410	20130102:0000	23726	31.1	-	-	60	5.1	N	-	1	-	H	U
1410	20130102:0000	23747	31	-54.9	-86.9	-	-	N	1	-	-	-	U
1410	20130102:0000	23957	30	-54.1	-87.1	40	6.7	Y	0	0	0	P	U
1410	20130102:0000	24026	29.7	-	-	65	9.8	N	-	1	-	H	U
1410	20130102:0000	24326	28.3	-	-	55	9.3	N	-	1	-	H	U
1410	20130102:0000	24636	27	-52.3	-85.3	125	9.8	N	1	1	-	H	U
1410	20130102:0000	24879	26	-53.7	-86.7	-	-	N	1	-	-	-	U
1410	20130102:0000	24926	25.8	-	-	95	11.3	N	-	1	-	H	U
1410	20130102:0000	26126	21.5	-	-	85	19	N	-	1	-	H	U
1410	20130102:0000	26588	20	-48.1	-82.1	85	16	Y	1	0	0	P	U
1410	20130102:0000	26726	19.6	-	-	85	16.5	N	-	1	-	H	U
1410	20130102:1200	26	1014	20.4	13.4	295	4.1	Y	4	4	-	H	U
1410	20130102:1200	146	1000	18.6	10.6	-	-	Y	0	-	0	-	U
1410	20130102:1200	326	979	-	-	310	5.1	N	-	1	-	H	U
1410	20130102:1200	485	961	14.6	10.3	-	-	N	1	-	-	-	U
1410	20130102:1200	626	945	-	-	310	5.7	N	-	1	-	H	U
1410	20130102:1200	807	925	11.8	8.4	-	-	Y	0	-	0	-	U
1410	20130102:1200	925	912	10.8	7.9	300	8.2	N	1	1	-	H	U
1410	20130102:1200	1226	880	-	-	300	8.8	N	-	1	-	H	U
1410	20130102:1200	1336	868	8.4	0.4	-	-	N	1	-	-	-	U
1410	20130102:1200	1432	858	12.2	-31.8	-	-	N	1	-	-	-	U
1410	20130102:1200	1510	850	12.4	-33.6	325	13.9	Y	0	0	0	P	U
1410	20130102:1200	1530	848	12.4	-34.6	330	13.9	N	1	1	-	H	U
1410	20130102:1200	2126	790	-	-	315	13.9	N	-	1	-	H	U
1410	20130102:1200	2292	774	11.2	-37.8	-	-	N	1	-	-	-	U
1410	20130102:1200	2726	734	-	-	310	15.4	N	-	1	-	H	U
1410	20130102:1200	3123	700	6.8	-39.2	300	14.9	Y	0	0	0	P	U
1410	20130102:1200	4057	624	1.2	-22.8	-	-	N	1	-	-	-	U
1410	20130102:1200	4226	611	-	-	295	13.4	N	-	1	-	H	U
1410	20130102:1200	4526	588	-	-	285	12.4	N	-	1	-	H	U
1410	20130102:1200	5126	545	-	-	280	13.4	N	-	1	-	H	U
1410	20130102:1200	5227	538	-9.5	-25.5	-	-	N	1	-	-	-	U
1410	20130102:1200	5726	504	-	-	280	22.6	N	-	1	-	H	U
1410	20130102:1200	5790	500	-12.7	-30.7	280	22.6	Y	0	0	0	P	U
1410	20130102:1200	6603	449	-18.1	-47.1	-	-	N	1	-	-	-	U
1410	20130102:1200	7226	413	-	-	285	20.6	N	-	1	-	H	U
1410	20130102:1200	7437	401	-24.5	-38.5	-	-	N	1	-	-	-	U
1410	20130102:1200	7455	400	-24.5	-40.5	285	21.1	Y	0	0	0	P	U
