date,Kidson,Temp.original,found.correctly,updated.values,temp.updated,temp.final,siggi.original,found.correctly,updated.value,siggi.updated,siggi.final,wd,ws,tair,
4/01/13 12:00,R,2283,0,NA,2283,NA,1271,0,NA,1271,NA,218,11,20,
5/01/13 12:00,R,1371,0,NA,1371,NA,1208,0,NA,1208,NA,206,7,22,
6/01/13 12:00,TSW,735,0,NA,735,NA,1539,0,NA,1539,NA,208,6,25,
7/01/13 12:00,SW,794,1,NA,794,794,297,0,NA,297,NA,226,11,21,
8/01/13 12:00,T,1256,1,NA,1256,1256,1193,1,NA,1193,1193,245,11,21,
9/01/13 12:00,T,786,0,NA,786,NA,409,0,NA,409,NA,350,3,25,
10/01/13 12:00,W,1307,1,NA,1307,1307,301,0,NA,301,NA,352,3,24,
11/01/13 12:00,T,1497,1,NA,1497,1497,1383,1,NA,1383,1383,228,5,26,
12/01/13 12:00,T,-1,0,NA,-1,NA,818,1,NA,818,818,233,6,24,
13/01/13 12:00,TSW,1373,0,NA,1373,NA,1345,0,NA,1345,NA,244,2,26,
14/01/13 12:00,R,2165,0,NA,2165,NA,477,1,NA,477,477,291,7,23,
15/01/13 12:00,R,-1,0,NA,-1,NA,1077,0,NA,1077,NA,335,7,22,
16/01/13 12:00,TSW,1702,0,NA,1702,NA,1169,1,NA,1169,1169,244,10,21,
17/01/13 12:00,SW,1856,0,NA,1856,NA,1520,0,NA,1520,NA,251,8,21,
18/01/13 12:00,T,1954,0,NA,1954,NA,1144,0,NA,1144,NA,231,11,20,
19/01/13 12:00,T,1339,1,NA,1339,1339,1354,1,NA,1354,1354,238,10,21,
20/01/13 12:00,SW,-1,0,NA,-1,NA,501,1,NA,501,501,213,8,21,
21/01/13 12:00,T,1047,1,NA,1047,1047,238,"""UPDATE""",980,980,980,218,6,21,
22/01/13 12:00,T,816,1,NA,816,816,984,1,NA,984,984,48,8,24,
23/01/13 12:00,TSW,1466,0,NA,1466,NA,857,0,NA,857,NA,51,7,24,
24/01/13 12:00,R,1884,0,NA,1884,NA,287,1,NA,287,287,238,2,25,
25/01/13 12:00,R,231,UPDATE,1790,1790,1790,1763,1,NA,1763,1763,65,5,26,
26/01/13 12:00,TSW,1585,0,NA,1585,NA,833,0,NA,833,NA,54,5,22,
27/01/13 12:00,SW,1944,1,NA,1944,1944,1189,0,NA,1189,NA,85,5,23,
28/01/13 12:00,,-1,0,NA,-1,NA,1686,0,NA,1686,NA,47,7,23,
29/01/13 12:00,T,882,1,NA,882,882,895,1,NA,895,895,37,5,23,
30/01/13 12:00,HSE,1375,1,NA,1375,1375,312,"""UPDATE""",1400,1400,1400,48,7,23,
31/01/13 12:00,T,1426,1,NA,1426,1426,1422,1,NA,1422,1422,40,6,24,
1/02/13 12:00,NE,1610,1,NA,1610,1610,1558,1,NA,1558,1558,66,6,24,
2/02/13 12:00,NE,1273,1,NA,1273,1273,1247,1,NA,1247,1247,48,8,25,
3/02/13 12:00,TNW,1604,0,NA,1604,NA,867,1,NA,867,867,43,6,24,
4/02/13 12:00,SW,-1,0,NA,-1,NA,297,1,NA,297,297,28,10,22,
5/02/13 12:00,HW,1429,0,NA,1429,NA,341,0,NA,341,NA,233,13,20,
6/02/13 12:00,HSE,641,UPDATE,1480,1480,1480,1943,"""UPDATE""",1420,1420,1420,155,4,20,
7/02/13 12:00,HSE,1854,1,NA,1854,1854,1331,"""UPDATE""",1780,1780,1780,232,2,22,
8/02/13 12:00,H,2108,0,NA,2108,NA,1634,0,NA,1634,NA,246,4,24,
9/02/13 12:00,HE,76,UPDATE,NA,76,NA,1157,1,NA,1157,1157,219,6,22,
10/02/13 12:00,HSE,1227,1,NA,1227,1227,1247,1,NA,1247,1247,234,6,22,
11/02/13 12:00,NE,1368,1,NA,1368,1368,1578,1,NA,1578,1578,241,4,24,
12/02/13 12:00,NE,1691,0,NA,1691,NA,1534,0,NA,1534,NA,236,5,24,
13/02/13 12:00,TNW,1839,0,NA,1839,NA,672,0,NA,672,NA,238,5,22,
14/02/13 12:00,SW,1497,1,NA,1497,1497,1427,1,NA,1427,1427,220,9,21,
15/02/13 12:00,HW,1642,1,NA,1642,1642,1125,"""UPDATE""",1500,1500,1500,239,8,22,
16/02/13 12:00,HSE,1335,UPDATE,1200,1200,1200,1130,1,NA,1130,1130,218,8,22,
17/02/13 12:00,HSE,1267,1,NA,1267,1267,1252,1,NA,1252,1252,216,5,22,
18/02/13 12:00,H,1725,0,NA,1725,NA,1101,0,NA,1101,NA,34,5,24,
19/02/13 12:00,HE,1585,0,NA,1585,NA,1047,0,NA,1047,NA,182,2,24,
20/02/13 12:00,HSE,1763,1,NA,1763,1763,1909,1,NA,1909,1909,61,4,24,
21/02/13 12:00,NE,1663,1,NA,1663,1663,925,0,NA,925,NA,234,7,23,
22/02/13 12:00,NE,603,0,NA,603,NA,1349,0,NA,1349,NA,46,3,25,
23/02/13 12:00,TNW,1875,0,NA,1875,NA,1344,0,NA,1344,NA,179,3,24,
24/02/13 12:00,SW,828,0,NA,828,NA,1568,1,NA,1568,1568,232,4,24,
25/02/13 12:00,HW,1399,0,NA,1399,NA,1476,0,NA,1476,NA,116,3,24,
26/02/13 12:00,HSE,1543,1,NA,1543,1543,1554,1,NA,1554,1554,200,4,24,
27/02/13 12:00,HSE,1807,1,NA,1807,1807,1817,1,NA,1817,NA,-,-,-,
28/02/13 12:00,H,1889,0,NA,1889,NA,1252,1,NA,1252,1252,198,2,23,
1/03/13 12:00,R,1204,1,NA,1204,1204,1125,1,NA,1125,1125,222,9,21,
2/03/13 12:00,SW,1104,1,NA,1104,1104,1027,1,NA,1027,1027,238,7,23,
3/03/13 12:00,SW,-1,0,NA,-1,NA,1144,1,NA,1144,1144,256,3,23,
4/03/13 12:00,SW,1180,UPDATE,200,200,200,248,1,NA,248,248,229,8,22,
5/03/13 12:00,HNW,112,1,NA,112,112,224,1,NA,224,224,172,3,23,
6/03/13 12:00,HW,-1,0,NA,-1,NA,1305,1,NA,1305,1305,222,5,21,
7/03/13 12:00,HSE,1632,1,NA,1632,1632,1710,0,NA,1710,NA,309,3,25,
8/03/13 12:00,HSE,1829,0,NA,1829,NA,1300,0,NA,1300,NA,245,4,25,
9/03/13 12:00,HSE,764,1,NA,764,764,"""NA""",0,NA,"""NA""",NA,106,4,25,
10/03/13 12:00,HSE,997,UPDATE,1390,1390,1390,1344,1,NA,1344,1344,195,2,25,
11/03/13 12:00,R,684,1,NA,684,684,"""NA""",0,NA,"""NA""",NA,244,5,24,
12/03/13 12:00,SW,845,1,NA,845,845,"""NA""",0,NA,"""NA""",NA,245,3,25,
13/03/13 12:00,SW,506,1,NA,506,506,"""NA""",0,NA,"""NA""",NA,228,2,25,
14/03/13 12:00,SW,1809,1,NA,1809,1809,628,0,NA,628,NA,31,3,24,
15/03/13 12:00,HNW,1270,1,NA,1270,1270,"""NA""",0,NA,"""NA""",NA,50,5,23,
16/03/13 12:00,HW,1545,1,NA,1545,1545,355,0,NA,355,NA,56,5,22,
17/03/13 12:00,HSE,-1,0,NA,-1,NA,219,1,NA,219,219,37,9,21,
18/03/13 12:00,HSE,1912,0,NA,1912,NA,789,1,NA,789,789,277,8,24,
19/03/13 12:00,HSE,1570,0,NA,1570,NA,228,0,NA,228,NA,244,12,19,
20/03/13 12:00,H,-1,0,NA,-1,NA,1281,0,NA,1281,NA,153,2,21,
21/03/13 12:00,R,2427,0,NA,2427,NA,"""NA""",0,NA,"""NA""",NA,238,3,20,
22/03/13 12:00,SW,915,0,NA,915,NA,2202,0,NA,2202,NA,50,4,22,
23/03/13 12:00,SW,-1,0,NA,-1,NA,2153,"""UPDATE""",1600,1600,1600,238,2,22,
24/03/13 12:00,SW,1106,1,NA,1106,1106,1076,1,NA,1076,1076,45,5,22,
25/03/13 12:00,HNW,1268,1,NA,1268,1268,"""NA""","""UPDATE""",1250,1250,1250,45,5,23,
26/03/13 12:00,HW,2116,0,NA,2116,NA,"""NA""",0,NA,"""NA""",NA,241,4,23,
27/03/13 12:00,HSE,-1,0,NA,-1,NA,959,1,NA,959,959,241,3,24,
28/03/13 12:00,HSE,-1,0,NA,-1,NA,1052,1,NA,1052,1052,245,3,24,
29/03/13 12:00,HSE,76,0,NA,76,NA,1651,"""UPDATE""",1270,1270,1270,46,6,22,
30/03/13 12:00,TNW,2108,0,NA,2108,NA,701,1,NA,701,701,45,4,21,
31/03/13 12:00,R,-1,0,NA,-1,NA,448,1,NA,448,448,16,4,24,
1/04/13 12:00,R,1800,0,NA,1800,NA,1427,"""UPDATE""",850,850,850,233,5,23,
2/04/13 12:00,TNW,1993,1,NA,1993,1993,380,0,NA,380,NA,231,2,24,
3/04/13 12:00,SW,1643,0,NA,1643,NA,891,0,NA,891,NA,302,2,23,
4/04/13 12:00,HSE,771,0,NA,771,NA,380,1,NA,380,380,199,4,19,
5/04/13 12:00,HSE,-1,0,NA,-1,NA,1295,0,NA,1295,NA,215,3,20,
6/04/13 12:00,HSE,-1,0,NA,-1,NA,1154,1,NA,1154,1154,167,3,18,
