'date','station','tair','twet','rh','tdew'
'2012-04-19 12:00:00',22719,18.4,'''"13.1"''','''"51"''','''"8.1"'''
'2012-04-20 12:00:00',22719,19.8,'''"13.6"''','''"46"''','''"7.9"'''
'2012-04-21 12:00:00',22719,19,'''"15.1"''','''"64"''','''"12"'''
'2012-04-22 12:00:00',22719,19.2,'''"15.5"''','''"66"''','''"12.7"'''
'2012-04-23 12:00:00',22719,20.5,'''"14.9"''','''"52"''','''"10.3"'''
'2012-04-24 12:00:00',22719,20.9,'''"13.7"''','''"40"''','''"6.8"'''
'2012-04-25 12:00:00',22719,21.2,'''"15.4"''','''"51"''','''"10.7"'''
'2012-04-26 12:00:00',22719,19.8,'''"16.2"''','''"67"''','''"13.5"'''
'2012-04-27 12:00:00',22719,22.9,'''"17.9"''','''"59"''','''"14.5"'''
'2012-04-28 12:00:00',22719,17.7,'''"14.4"''','''"68"''','''"11.7"'''
'2012-04-29 12:00:00',22719,17.5,'''"14.2"''','''"68"''','''"11.5"'''
'2012-04-30 12:00:00',22719,16.9,'''"12.8"''','''"60"''','''"9.1"'''
'2012-05-01 12:00:00',22719,16.1,'''"13.5"''','''"73"''','''"11.3"'''
'2012-05-02 12:00:00',22719,16.5,'''"9.7"''','''"35"''','''"1"'''
'2012-05-03 12:00:00',22719,16.3,'''"10.8"''','''"46"''','''"4.7"'''
'2012-05-04 12:00:00',22719,17.3,'''"13.4"''','''"62"''','''"10"'''
'2012-05-05 12:00:00',22719,19.1,'''"14.3"''','''"56"''','''"10.1"'''
'2012-05-06 12:00:00',22719,19.4,'''"13.5"''','''"48"''','''"8.1"'''
'2012-05-07 12:00:00',22719,16.6,'''"13.8"''','''"72"''','''"11.6"'''
'2012-05-08 12:00:00',22719,18.5,'''"15.5"''','''"71"''','''"13.2"'''
'2012-05-09 12:00:00',22719,17.1,'''"16.4"''','''"93"''','''"16"'''
'2012-05-10 12:00:00',22719,19.2,'''"17.7"''','''"86"''','''"16.8"'''
'2012-05-11 12:00:00',22719,16.8,'''"13.8"''','''"70"''','''"11.3"'''
'2012-05-12 12:00:00',22719,18.8,'''"14.2"''','''"58"''','''"10.4"'''
'2012-05-13 12:00:00',22719,18.8,'''"16.3"''','''"76"''','''"14.5"'''
'2012-05-14 12:00:00',22719,17.2,'''"15.4"''','''"82"''','''"14.1"'''
'2012-05-15 12:00:00',22719,16.3,'''"13.7"''','''"73"''','''"11.5"'''
'2012-05-16 12:00:00',22719,15.7,'''"13.1"''','''"73"''','''"10.9"'''
'2012-05-17 12:00:00',22719,16.8,'''"14.3"''','''"75"''','''"12.4"'''
'2012-05-18 12:00:00',22719,16.6,'''"14.2"''','''"75"''','''"12.2"'''
'2012-05-19 12:00:00',22719,15.3,'''"12.2"''','''"67"''','''"9.2"'''
'2012-05-20 12:00:00',22719,15.6,'''"11.9"''','''"62"''','''"8.4"'''
'2012-05-21 12:00:00',22719,17.2,'''"13.6"''','''"65"''','''"10.6"'''
'2012-05-23 12:00:00',22719,15.6,'''"12.6"''','''"69"''','''"10"'''
'2012-05-24 12:00:00',22719,15.3,'''"12.9"''','''"74"''','''"10.7"'''
'2012-05-25 12:00:00',22719,15.3,'''"13.2"''','''"78"''','''"11.5"'''
